gene	chr	start	end	ecto	endo	meso	min_dist	Len	percCG	percGC	percC	percCHG	set	thrE	thrGE	set_ds	log.dist
Rab11b	17	33745950	33760530	6.8792677	6.721779	6.8466873	538	14580	2.8	50.3	19	7	Sim	-12	ALL GE	SEG	2.7315887651867388
Kifc1	17	33875666	33890661	5.6058393	5.88515	6.170605	14474	14995	3.5	49.4	18	7	Sim	-12	ALL GE	SEG	4.160618572399474
Rdbp	17	34850391	34856372	6.5209284	6.2035565	6.446286	181	5981	4	52	17	7	Sim	-12	ALL GE	SEG	2.2600713879850747
Usp49	17	47630690	47686738	2.317925	2.4575357	2.7318869	19101	56048	2	44.5	16	6	Sim	-12	ALL GE	SEG	4.281078840728938
Ebi3	17	55952623	55957021	-0.83608043	-0.5575937	-1.9411157000000001	6564	4398	4.2	51.4	18	7	Sim	-12	ALL GE	SEG	3.8172347304254983
D17Wsu104e	17	56175744	56183920	6.3999634	6.981472	6.9298153	21443	8176	3.2	53.6	19	7	Sim	-12	ALL GE	SEG	4.331305798553269
Ranbp3	17	56673225	56711769	7.4802713	6.961521	7.3094482	44474	38544	2.2	51.7	18	8	Sim	-12	ALL GE	SEG	4.648115956755962
Fbxl17	17	63057452	63500017	2.1683655	3.3504553	2.9350252	187044	442565	2	41.2	16	5	Sim	-12	ALL GE	SEG	5.271946103331162
Foxn2	17	88440711	88490533	4.6890297	5.1280627	5.1342816	89413	49822	2.3	40.8	14	5	Sim	-12	ALL GE	SEG	4.951405523792832
Svil	18	4920540	5119299	3.4742239	3.251002	3.1575608	285611	198759	2	45.4	17	6	Sim	-12	ALL GE	SEG	5.4557764503881
Kif5b	18	6201002	6242174	8.24268	8.360479	8.351029	28261	41172	1.9	38.7	16	5	Sim	-12	ALL GE	SEG	4.451202892057113
Abhd3	18	10644411	10706771	1.2545221	2.1415083	0.08079899	18777	62360	1.5	41	16	5	Sim	-12	ALL GE	SEG	4.273649334723605
Kctd1	18	14968685	15151446	2.023742	3.2107499	3.1957183	140200	182761	2.3	44.9	17	5	Sim	-12	ALL GE	SEG	5.14675111129778
Asxl3	18	22344883	22530227	0.53831506	0.73270273	1.9745808	173487	185344	1.2	39	16	4	Sim	-12	ALL GE	SEG	5.239269440429387
Mapre2	18	23752333	23893861	6.8304834	6.396182	6.7560644	28	141528	2.4	44.5	16	6	Sim	-12	ALL GE	SEG	1.462397997898956
Prelid2	18	41875696	41951194	4.8450494	4.3830824	3.9910688	47855	75498	1.7	42.3	17	5	Sim	-12	ALL GE	SEG	4.679936395687243
Commd10	18	46958862	47087992	4.974134	4.9427323	5.0287848	32880	129130	1.8	41	15	5	Sim	-12	ALL GE	SEG	4.516945017136802
Dctn4	18	60526221	60558762	6.2609115	6.2194934	6.2787437	24238	32541	2.8	43.1	15	5	Sim	-12	ALL GE	SEG	4.384514698685653
Ablim3	18	61799395	61911852	-1.503505	0.84872663	-5.096394	41223	112457	2.3	46.4	17	6	Sim	-12	ALL GE	SEG	4.615150129453018
Atp5a1	18	77773729	77782869	9.950461	9.66818	9.905654	5949	9140	4.8	46.1	13	6	Sim	-12	ALL GE	SEG	3.7745169657285498
Adnp2	18	80126338	80151482	4.5301337	4.535482	4.807625	49176	25144	3	45.2	18	6	Sim	-12	ALL GE	SEG	4.6917620314546395
Ndufs8	19	3908870	3912717	7.0487494	7.023471	7.1825566	5584	3847	4.4	53.1	19	7	Sim	-12	ALL GE	SEG	3.747023177451628
Rbm4b	19	4756525	4765938	4.7090034	5.020108	4.8998866	37376	9413	2.9	42.3	14	5	Sim	-12	ALL GE	SEG	4.5726044405492035
Pacs1	19	5133688	5273119	4.045052	4.140169	4.319348	22336	139431	1.6	43.1	16	5	Sim	-12	ALL GE	SEG	4.349024844207768
Rela	19	5637483	5648130	4.4894056	5.0834785	4.2133923	26224	10647	5.1	53.2	17	7	Sim	-12	ALL GE	SEG	4.4187154968655955
Mark2	19	7275396	7341860	4.6541886	4.8322387000000004	4.705094	44202	66464	2.1	47.5	17	6	Sim	-12	ALL GE	SEG	4.6454517453498205
Ints5	19	8892987	8897890	5.538315	5.1505136	5.661678	4084	4903	5.1	52.8	18	7	Sim	-12	ALL GE	SEG	3.6111920608684343
Sdhaf2	19	10500513	10525209	6.377219	6.1691785	6.2142706	35	24696	1.6	42.9	15	5	Sim	-12	ALL GE	SEG	1.5563025007672873
Mrpl16	19	11770415	11774944	5.3390303	5.1331196	5.425117	22861	4529	3	43.4	16	5	Sim	-12	ALL GE	SEG	4.359114220414906
Ankrd1	19	36111965	36119844	-4.5909677	-2.3476706	-1.970863	36128	7879	2.6	44	16	5	Sim	-12	ALL GE	SEG	4.5578559410728055
Fgfbp3	19	36917550	36919615	1.1048403	0.3527691	1.0607231	6464	2065	9.9	51.4	16	7	Sim	-12	ALL GE	SEG	3.810568529216413
Rrp12	19	41862852	41896153	6.3307486	5.7172966	6.2636046	15718	33301	2.9	49.4	19	7	Sim	-12	ALL GE	SEG	4.196424913949195
Loxl4	19	42593982	42612813	-2.421043	-7.084636	-1.1379731	49705	18831	2.9	52.3	19	7	Sim	-12	ALL GE	SEG	4.696408815486135
Ndufb8	19	44548572	44555440	8.300405	8.238895	8.486816	2609	6868	3.1	47.8	20	6	Sim	-12	ALL GE	SEG	3.416640507338281
Kazald1	19	45075241	45079289	-1.5320742	-2.0257425	-1.0480311	27665	4048	7.9	55.3	16	7	Sim	-12	ALL GE	SEG	4.441946372603051
Fbxw4	19	45578254	45660312	1.6851563	1.722003	1.7202988	82035	82058	2.9	47.7	18	6	Sim	-12	ALL GE	SEG	4.9140044764125825
Kcnip2	19	45791839	45816061	0.28350115	-0.062268347	-0.7614098	32541	24222	3.4	50.4	20	6	Sim	-12	ALL GE	SEG	4.5124442407419565
Ldb1	19	46032593	46045214	4.7995596	4.8974857	4.9921536	328	12621	5	54.5	20	7	Sim	-12	ALL GE	SEG	2.5171958979499744
Nolc1	19	46075863	46085528	8.436333	7.4194098	8.316945	30977	9665	3.7	48.9	15	7	Sim	-12	ALL GE	SEG	4.491053375430866
Psd	19	46312087	46327156	0.5314287	-0.15127335	-0.7420445	1028	15069	5.4	56.9	22	7	Sim	-12	ALL GE	SEG	3.012415374762433
Usmg5	19	47083471	47090625	8.6668625	8.836534	8.912329	141	7154	2.6	43	16	6	Sim	-12	ALL GE	SEG	2.1522883443830563
Sorcs1	19	50143301	50678646	-1.0884675	-5.3476706	-4.648935	647911	535345	1.5	40.2	16	4	Sim	-12	ALL GE	SEG	5.811516023602559
A630007B06Rik	19	56787481	56822190	5.372169	5.508236	5.23493	4019	34709	2.8	43.7	16	6	Sim	-12	ALL GE	SEG	3.60422605308447
Fam45a	19	60811585	60836227	5.568693	5.279255	5.057503	20892	24642	1.4	40.6	16	5	Sim	-12	ALL GE	SEG	4.320000804264728
Suv39h1	X	8061171	8074760	6.688352	6.467713	6.588514	15738	13589	3.2	47.8	19	6	Sim	-12	ALL GE	SEG	4.196977135375119
Maoa	X	16619698	16687818	6.1120706	5.210112	5.951783	96829	68120	0.8	36.5	15	4	Sim	-12	ALL GE	SEG	4.986009931853261
Upf3b	X	37091678	37110322	6.4663467	6.550427	5.777819	16473	18644	2.1	41.1	17	5	Sim	-12	ALL GE	SEG	4.216799061647666
Mcts1	X	38600578	38613426	6.119408	6.0467925	6.3935905	24382	12848	1.3	37.9	14	4	Sim	-12	ALL GE	SEG	4.387087138661005
Dcaf12l2	X	44365458	44368342	-0.9471118	-1.4090711	-0.92646897	421855	2884	5.9	49	17	6	Sim	-12	ALL GE	SEG	5.625164230397973
Aifm1	X	48474944	48513563	5.6324306	5.4415913	5.707297	5722	38619	1.7	41.7	17	5	Sim	-12	ALL GE	SEG	3.757623745908389
Cxx1a	X	53642488	53643763	1.7927363	1.6065257	1.3881541	26645	1275	7.7	59.3	14	9	Sim	-12	ALL GE	SEG	4.42563202355732
Zfp275	X	73342621	73359080	5.48785	5.4221673	5.45741	49645	16459	2	43.5	17	5	Sim	-12	ALL GE	SEG	4.695884262944022
Fam3a	X	74384719	74393272	2.6711268	3.3117306	2.6103373	18	8553	1.5	46.2	16	6	Sim	-12	ALL GE	SEG	1.2787536009528289
Ikbkg	X	74393290	74453854	4.780809	5.1885767	4.6731434	18	60564	1.4	43.6	16	5	Sim	-12	ALL GE	SEG	1.2787536009528289
Tbl1x	X	77511013	77662983	7.8472176	7.783651	7.9385457	285265	151970	1.1	41.1	15	5	Sim	-12	ALL GE	SEG	5.455250012483195
Pcyt1b	X	93654863	93749951	4.6446476	4.2310166	2.8688655	22708	95088	1.5	41.2	16	5	Sim	-12	ALL GE	SEG	4.356198010307629
Fam123b	X	95420318	95444872	5.742374	5.8005943	5.9041824	33257	24554	1.7	44.1	17	5	Sim	-12	ALL GE	SEG	4.521896128976105
Efnb1	X	99136130	99148991	1.8240695	4.642433	4.499796	132882	12861	4.3	54.7	19	7	Sim	-12	ALL GE	SEG	5.123469424295374
Chic1	X	103356476	103396092	3.9693651	3.7781734	3.8878949	35078	39616	1.5	38.5	15	5	Sim	-12	ALL GE	SEG	4.545047204401184
Abcb7	X	104280657	104413856	5.8597274	5.6096735	5.9519067	68962	133199	1.2	37.6	16	4	Sim	-12	ALL GE	SEG	4.838616145727134
1700008I05Rik	X	135654698	135693790	0.33976942	-0.34767053	-1.0244442	31471	39092	0.7	44.7	14	7	Sim	-12	ALL GE	SEG	4.497924342575262
Frmpd3	X	140367494	140394540	-4.5909677	-1.2602078	-0.8904897	89119	27046	1.4	42.3	17	5	Sim	-12	ALL GE	SEG	4.9499751778296535
Tro	X	150645304	150657583	5.0627728	4.0925064	5.3207874	69354	12279	2.8	49.2	20	7	Sim	-12	ALL GE	SEG	4.841077776067325
Hsd17b10	X	152001845	152004442	6.244819	6.460087	6.4787583	14450	2597	4.2	49.7	16	6	Sim	-12	ALL GE	SEG	4.159897901034096
Wdr12	1	60076868	60098645	7.2505965	6.460221	7.5803447	398	21777	2.1	40.4	16	5	DifM	0	GE>0	DEG	2.6009728956867484
Nrp2	1	62703285	62818695	3.2967606	1.8939154	4.70891	411382	115410	2.7	46.8	17	6	DifM	0	GE>0	DEG	5.614246340934938
Atic	1	71557150	71579631	8.273605	7.3754926	8.27402	96021	22481	2.8	44.2	15	6	DifM	0	GE>0	DEG	4.98237074745608
Pax3	1	78101267	78197134	-0.39457068	-4.3476706	1.0970193	291725	95867	2.4	42.5	17	5	DifM	0	GE>0	DEG	5.464975137223658
Twist2	1	91801461	91848028	-3.1759303	-7.084636	1.0045072	129715	46567	2.6	49.1	18	6	DifM	0	GE>0	DEG	5.112993548043552
Cdh20	1	104768529	104995481	-0.9471118	-4.610705	3.7324638	588181	226952	1.2	39.4	16	4	DifM	0	GE>0	DEG	5.769511729759135
Prdx6	1	161240112	161251219	10.25364	8.9810505	10.243235	108528	11107	3.5	45.2	17	5	DifM	0	GE>0	DEG	5.035545801383938
Pbx1	1	168153527	168432270	6.9033875	6.5645947	7.5928097	833886	278743	2.2	44.2	17	5	DifM	0	GE>0	DEG	5.921107203393855
Itpkb	1	180330485	180424802	0.83529675	-5.932633	1.3037091	67047	94317	3	49.5	18	6	DifM	0	GE>0	DEG	4.826385827647448
Vash2	1	190947648	190979296	5.5847893	4.183711	5.931323	46894	31648	3.2	50.5	18	7	DifM	0	GE>0	DEG	4.671126540195512
Grin1	2	25291181	25319187	-0.60607475	-4.3476706	1.3719524	13151	28006	3.6	52.2	18	7	DifM	0	GE>0	DEG	4.1189918001959756
Zeb2	2	44983634	45117395	5.607477	5.004005	6.3448052	6257	133761	2.4	41	16	5	DifM	0	GE>0	DEG	3.7964355588101744
Meis2	2	115863064	116065839	5.2326646	4.224082	6.8081717	1605	202775	2.1	41.5	16	5	DifM	0	GE>0	DEG	3.205745540942662
Fbn1	2	125300594	125507993	1.1001939	-1.9784368	2.8667648	117120	207399	2.2	43.4	17	5	DifM	0	GE>0	DEG	5.068634771813939
Gm11476	2	167553314	167607845	-3.4754908	-7.084636	0.22225145	15119	54531	3.1	52.9	18	7	DifM	0	GE>0	DEG	4.179551791165188
Fam65c	2	167980164	168010618	-2.4754908	-7.084636	0.5657078	70386	30454	3.3	55.3	20	8	DifM	0	GE>0	DEG	4.847492455312486
Trim59	3	69035288	69044755	8.308735	7.439892	8.32262	40017	9467	2.9	38.2	15	4	DifM	0	GE>0	DEG	4.60225537988569
Gucy1a3	3	82092428	82145877	0.5722624	-2.6107051	2.142879	71166	53449	1.6	39.8	15	5	DifM	0	GE>0	DEG	4.852278658802808
She	3	89831370	89858834	-2.783613	-6.932633	0.6609202	57761	27464	3.1	47.7	17	7	DifM	0	GE>0	DEG	4.76164222219881
Car14	3	95897768	95904691	8.205275	7.156569	8.297569	10722	6923	2.7	50.4	18	7	DifM	0	GE>0	DEG	4.030316305988586
Cd160	3	96798763	96829351	-0.96647704	-3.610705	1.5303105	67	30588	2.3	45.4	17	6	DifM	0	GE>0	DEG	1.8325089127062364
Wnt2b	3	104944805	104961709	2.6021466	0.33415353	5.022075	91437	16904	3.2	48.9	19	6	DifM	0	GE>0	DEG	4.961126718278925
Prmt6	3	110246109	110250998	5.323915	4.2602763	5.906549	115490	4889	5.6	46.6	17	6	DifM	0	GE>0	DEG	5.062548141781149
Unc5c	3	141465564	141834924	0.33186427	-5.932633	3.2094605	930132	369360	1.1	38.1	15	4	DifM	0	GE>0	DEG	5.968545052893992
Fubp1	3	152210458	152236830	9.210403	8.145893	9.202229	179	26372	2.3	38.5	13	5	DifM	0	GE>0	DEG	2.255272505103306
Gm11827	4	11122805	11126998	-1.1759304	-2.762708	1.3734328	33626	4193	2.7	46.9	18	6	DifM	0	GE>0	DEG	4.5266881238843135
Tal1	4	115056426	115071755	-0.700197	-7.084636	1.607824	56267	15329	5	51	16	6	DifM	0	GE>0	DEG	4.7502614787864745
Alpl	4	137741733	137796384	5.1045504	2.55922	5.3144426	65853	54651	3.1	51.2	18	7	DifM	0	GE>0	DEG	4.818582159330727
Ece1	4	137862237	137965229	4.6878686	3.4149883	5.9876895	65853	102992	3.4	51.9	18	7	DifM	0	GE>0	DEG	4.818582159330727
Gm16503	4	147540218	147543500	0.13695249	-4.932633	0.8535653	13059	3282	0.9	37.9	15	4	DifM	0	GE>0	DEG	4.115943176939055
2610109H07Rik	4	148098437	148130698	1.5955591	-2.932633	1.9901041	314	32261	2.9	50.6	19	7	DifM	0	GE>0	DEG	2.4983105537896004
Srm	4	148591503	148594993	8.766676	7.5508046	8.943289	11051	3490	6.9	58.6	18	9	DifM	0	GE>0	DEG	4.043440876244474
Dpysl5	5	30711564	30799375	6.3286405	5.534463	6.816903	44787	87811	2.8	47.9	18	6	DifM	0	GE>0	DEG	4.65116166953652
Mn1	5	111417362	111457033	4.841574	3.6229146	7.0637927	86599	39671	4.5	53.4	18	7	DifM	0	GE>0	DEG	4.937517892017347
Srrm4	5	116439272	116591817	0.98394084	-1.4090711	3.4402947	153097	152545	2.9	47.7	18	6	DifM	0	GE>0	DEG	5.184969517317221
Rasl11a	5	146845071	146847726	5.0108027	2.8405063	6.1058407	12181	2655	5.9	50.9	16	7	DifM	0	GE>0	DEG	4.085718595165402
Dfna5	6	50189369	50263862	6.416643	5.7137003	6.930349	153621	74493	2	44.7	17	6	DifM	0	GE>0	DEG	5.1864534148779615
Hoxa1	6	52155367	52158317	4.048674	1.9191159	4.917753	1415	2950	4.5	47.7	16	6	DifM	0	GE>0	DEG	3.15106325335375
Pdzrn3	6	101149609	101377897	3.7166126	1.9346455	4.7227693	544259	228288	2.2	44.8	17	5	DifM	0	GE>0	DEG	5.735806417327135
Ccnd2	6	127125779	127151048	8.132515	7.712913	8.803075	41498	25269	3.5	49.3	19	6	DifM	0	GE>0	DEG	4.618037631658733
Prmt8	6	127689011	127769472	1.2077739	-2.932633	1.9920329	322632	80461	2.7	48.3	18	6	DifM	0	GE>0	DEG	5.50870878644082
Ceacam10	7	24777204	24784649	-2.1315362	-6.932633	2.297484	84998	7445	2.3	45	14	6	DifM	0	GE>0	DEG	4.929413816337392
Etv2	7	30633616	30635852	1.3901236	-0.39347425	3.412121	9701	2236	7.5	56.2	20	7	DifM	0	GE>0	DEG	3.986861270290045
Kctd15	7	34639014	34655509	3.5528402	1.5751616	4.814181	256870	16495	6	55	20	7	DifM	0	GE>0	DEG	5.4097150764310324
Klf13	7	63886351	63938915	6.6138067	5.7159495	6.7915187	214920	52564	3.2	49.9	18	6	DifM	0	GE>0	DEG	5.332278852618188
Arrb1	7	99535466	99606771	5.746654	4.152839	6.306182	51728	71305	2.6	51.4	17	7	DifM	0	GE>0	DEG	4.713734082919431
Fgf15	7	144896532	144900953	3.0027342	-1.2047126	6.200939	18568	4421	4.6	50.2	17	7	DifM	0	GE>0	DEG	4.268788516223584
Eif4ebp1	8	27260327	27275656	7.884892	7.2078776	8.307985	30739	15329	4	49	16	6	DifM	0	GE>0	DEG	4.487703863163726
Dctd	8	48099092	48153233	6.561634	5.396042	6.69647	108549	54141	3.1	45.8	16	6	DifM	0	GE>0	DEG	5.035629827790439
Cdh8	8	99024471	99416471	-0.21014611	-7.084636	0.90155524	3368640	392000	1	36.7	15	4	DifM	0	GE>0	DEG	6.52745473017775
Pcolce2	9	95637601	95698096	4.210471	1.8811481	4.794423	125605	60495	2.6	44.4	16	5	DifM	0	GE>0	DEG	5.099010385457338
Cdv3	9	103353102	103365780	10.198005	9.350654	10.221632	60565	12678	4.1	43.9	17	6	DifM	0	GE>0	DEG	4.782228892215537
Rpf2	10	40223246	40246979	7.8295627	6.8777375	7.834713	10686	23733	2.1	43.2	17	6	DifM	0	GE>0	DEG	4.028855809390444
Gja1	10	56377300	56390419	9.505377	8.630146	9.741028	22226	13119	3.7	44	15	5	DifM	0	GE>0	DEG	4.346880849502073
Nxph4	10	127525473	127534559	0.5175566	-3.4732013	1.8493159	12115	9086	5.7	55.8	17	7	DifM	0	GE>0	DEG	4.083359264660818
Odz2	11	36006656	37235964	-0.5465739	-4.932633	0.9794497	1255437	1229308	1.7	40.9	16	5	DifM	0	GE>0	DEG	6.098795269878296
Hand1	11	57828705	57832818	2.8752785	-0.5403156	5.612141	31181	4113	7.1	54.2	17	7	DifM	0	GE>0	DEG	4.493903967206503
Gp1ba	11	70639122	70642036	-3.0060053	-6.932633	0.2450742	8357	2914	1.6	51.7	24	7	DifM	0	GE>0	DEG	3.922102366807607
Cbx2	11	119022962	119031270	5.8653865	5.031708	6.1893754	18007	8308	6	57.1	18	8	DifM	0	GE>0	DEG	4.255465481992464
Mycn	12	12936096	12941914	7.465444	5.183711	7.605857	29928	5818	8.4	52.8	17	6	DifM	0	GE>0	DEG	4.476092206257591
Egln3	12	54178981	54203860	4.3905993	3.4661105	5.266546	452712	24879	3.3	45.9	17	6	DifM	0	GE>0	DEG	5.655822965772482
Cap2	13	46501848	46649642	2.534876	0.5830667	4.7980103	83548	147794	2.5	44.9	17	5	DifM	0	GE>0	DEG	4.921941256179369
Sfxn1	13	54071845	54108346	8.074516	7.5564623	8.422404	299504	36501	3	45.3	16	6	DifM	0	GE>0	DEG	5.476404076990051
F2r	13	95601804	95618459	5.7352743	5.093199	6.623267	93219	16655	3.9	46.9	16	6	DifM	0	GE>0	DEG	4.969509098596567
Gdf10	14	33923587	33935280	-1.8905281	-5.3476706	0.82787865	247068	11693	3.6	50.2	18	7	DifM	0	GE>0	DEG	5.392818257447729
Apex1	14	50924968	50927139	8.949362	8.141341	8.941956	75	2171	6.6	49.4	17	6	DifM	0	GE>0	DEG	1.8808135922807914
Sacs	14	61138457	61240695	3.6514122	1.828918	4.5259905	91602	102238	2.1	43.3	16	5	DifM	0	GE>0	DEG	4.961909697053339
Dpysl2	14	66802864	66868688	8.013315	6.3840723	7.9894857	42482	65824	2.7	47.6	19	6	DifM	0	GE>0	DEG	4.628215177504724
Pdlim2	14	70164218	70177681	3.6905756	1.8322384	6.3113565	18179	13463	3.2	53.6	20	7	DifM	0	GE>0	DEG	4.259593878885949
Gspt1	16	11219292	11254270	7.731242	6.9708724	7.7826147	50939	34978	2.1	40.7	16	5	DifM	0	GE>0	DEG	4.707058940627596
Snai2	16	14705852	14709395	-1.1759304	-7.084636	0.34805623	344294	3543	3.3	42.4	15	6	DifM	0	GE>0	DEG	5.536930715739303
Galnt14	17	73493228	73710453	1.9481909	-1.1252782	4.729721	94388	217225	1.8	45.5	18	5	DifM	0	GE>0	DEG	4.97492138500085
Colec12	18	9707648	9877995	5.676404	5.2167964	6.409598	250532	170347	1.1	41.6	16	5	DifM	0	GE>0	DEG	5.398864938881829
Cdc23	18	34630951	34651735	8.115204	7.644264	8.38272	27111	20784	2.5	44.4	17	6	DifM	0	GE>0	DEG	4.433161555829322
Pmaip1	18	66458604	66465550	6.4393544	5.631278	7.330133	436024	6946	4.2	43.2	13	5	DifM	0	GE>0	DEG	5.639511390761205
Tubb6	18	67390717	67402748	6.624767	5.268878	6.811043	58449	12031	4.3	48.3	15	6	DifM	0	GE>0	DEG	4.766784515497859
Fads2	19	10064164	10101503	5.1369524	4.2633543	6.0088	59955	37339	2.4	48.4	17	6	DifM	0	GE>0	DEG	4.777832650929498
Dock11	X	35888832	36076562	6.694916	5.9386945	7.5859222	223278	187730	1.4	39.5	15	4	DifM	0	GE>0	DEG	5.348847878409567
Cdx4	X	103321398	103330592	-0.700197	-7.084636	2.1797304	35078	9194	2.4	41.8	16	5	DifM	0	GE>0	DEG	4.545047204401184
Rps6ka6	X	111388192	111537959	7.652553	6.928648	7.9108086	159120	149767	1	34.8	15	4	DifM	0	GE>0	DEG	5.20172749945975
Pcdh11x	X	120290259	120910619	-0.34304047	-4.3476706	1.2156638	2107126	620360	0.8	34.6	15	4	DifM	0	GE>0	DEG	6.323690712037628
Jph1	1	16994938	17097889	2.2649388	1.375706	1.4483949	409433	102951	1.4	40.3	16	5	Sim	0	GE>0	SEG	5.61218390427488
Rab23	1	33719882	33742564	5.395111	4.61667	5.180259	37912	22682	3.6	46	15	6	Sim	0	GE>0	SEG	4.578788150870558
Tbc1d8	1	39371499	39478747	6.153866	6.1926193	6.0115957	56245	107248	2.7	47.3	18	6	Sim	0	GE>0	SEG	4.750091642522122
D1Bwg0212e	1	39534992	39546881	5.2398114	5.3952003	5.035463	17010	11889	4.1	46	15	6	Sim	0	GE>0	SEG	4.230729844577681
Map4k4	1	39900913	40026310	6.004911	6.1814346	5.785137	323508	125397	2.9	45.7	15	6	Sim	0	GE>0	SEG	5.509886367217911
Tmem194b	1	52630705	52651919	3.7555459	4.013542	2.937029	130026	21214	2.2	43.3	15	6	Sim	0	GE>0	SEG	5.114033542564414
Kctd18	1	57955101	58018956	5.3793774	5.130425	5.2150445	22985	63855	1.8	41.2	16	5	Sim	0	GE>0	SEG	4.361463402366721
Mpp4	1	59120936	59163389	2.285549	1.9802562	1.708617	43293	42453	2	44.1	16	6	Sim	0	GE>0	SEG	4.6364277128095726
1810031K17Rik	1	75134554	75142368	3.6921206	4.4709115	4.053815	418	7814	3.2	49	18	7	Sim	0	GE>0	SEG	2.622214022966295
Fam134a	1	75142786	75147909	3.9750862	4.199224	3.8712254	418	5123	4.1	52.7	17	7	Sim	0	GE>0	SEG	2.622214022966295
Atg9a	1	75180866	75191923	4.0456567	3.7798939	4.151318	228	11057	3.5	52.2	17	7	Sim	0	GE>0	SEG	2.359835482339888
Dnajb2	1	75236465	75244804	-0.006005389	2.2247138	1.0588841	17212	8339	4.6	51.9	18	7	Sim	0	GE>0	SEG	4.235856568752974
Sh3bp4	1	89070415	89155068	5.9413877	5.812411	5.103167	368194	84653	3	49.3	16	6	Sim	0	GE>0	SEG	5.5660778865928915
R3hdm1	1	128103306	128237735	6.686804	6.0300817	6.5764327	259	134429	1.1	37.3	14	4	Sim	0	GE>0	SEG	2.4149733479708178
Arl8a	1	135146824	135156269	2.260781	2.1811092	2.1201315	85221	9445	4.2	51	18	7	Sim	0	GE>0	SEG	4.930551722058422
Edem3	1	151755374	151822328	4.3637133	4.6161885	4.4018207	254551	66954	1.8	40.4	15	5	Sim	0	GE>0	SEG	5.405776513612805
Klhl20	1	161088375	161131511	3.6679907	3.8222542	4.108177	11180	43136	1.7	40.4	16	5	Sim	0	GE>0	SEG	4.048480647473502
Cd247	1	165788681	165877276	3.2534764	2.881148	3.0111794	24935	88595	2.6	46.7	17	6	Sim	0	GE>0	SEG	4.396826789268784
Dusp12	1	170873498	170885540	4.6005025	4.321214	4.7515173	16895	12042	3.2	43.7	17	6	Sim	0	GE>0	SEG	4.227783900853718
Alyref2	1	171503478	171504750	1.1683655	-0.26020774	1.3689868	633	1272	10.2	50.6	11	7	Sim	0	GE>0	SEG	2.802089257881733
Dcaf8	1	172148015	172196393	6.6763067	6.672731	6.7462425	21260	48378	2.2	42.9	15	5	Sim	0	GE>0	SEG	4.327583687481179
Atp1a2	1	172271709	172298064	0.10019392	1.5791196	2.230444	36423	26355	3.1	49.7	18	6	Sim	0	GE>0	SEG	4.561387637300133
CAAA01083517.1	1	183326725	183369529	6.1509204	6.5540767	6.4740653	19452	42804	3	43.6	16	6	Sim	0	GE>0	SEG	4.288986586791629
Eprs	1	185363095	185428355	9.062847	8.450632	8.915103	30946	65260	2.1	42	15	5	Sim	0	GE>0	SEG	4.490618554920131
Rps6kc1	1	190700202	190911770	3.7999175	3.9323268	3.8688657	13342	211568	2.4	46.6	18	6	Sim	0	GE>0	SEG	4.125253486024798
Otud1	2	19658062	19660590	1.4052701	1.186308	1.4228848	251718	2528	11.9	52.3	14	8	Sim	0	GE>0	SEG	5.400915997764211
Pnpla7	2	24976033	25054057	2.3298812	2.4831088	2.5356097	935	78024	1.9	46.4	17	6	Sim	0	GE>0	SEG	2.971275848738105
Nelf	2	25054355	25062881	4.2690845	4.874722	4.831788	78322	8526	4.1	57.3	20	8	Sim	0	GE>0	SEG	4.893889313862666
Rexo4	2	26953563	26964386	6.292184	5.965401	6.245883	30458	10823	2.5	48.4	18	7	Sim	0	GE>0	SEG	4.4837156409037995
Ppp1r26	2	28446800	28455508	2.7912958	2.88275	2.5792422	21266	8708	4.9	53.9	17	8	Sim	0	GE>0	SEG	4.327706231071694
Nup188	2	30286397	30344266	6.426884	6.2916703	6.3203554	43	57869	2.4	46.3	16	6	Sim	0	GE>0	SEG	1.6434526764861874
Mrrf	2	36136389	36190647	5.555813	4.948481	5.4776835	384	54258	1.8	42.6	15	6	Sim	0	GE>0	SEG	2.5854607295085006
Rc3h2	2	37370069	37422903	5.6117682	5.732925	5.5095906	20268	52834	1.3	36.7	15	4	Sim	0	GE>0	SEG	4.306832322684375
Stam2	2	52691664	52742281	4.830045	5.0450044	5.0256104	115579	50617	2.3	41.9	16	6	Sim	0	GE>0	SEG	5.0628826901303645
Baz2b	2	59899363	60209839	4.969046	5.8696814	5.8613677	48	310476	2.1	40.9	16	5	Sim	0	GE>0	SEG	1.6901960800285136
Fastkd1	2	69686815	69713516	4.785881	3.4862738	4.805844	9029	26701	2.7	42.6	16	5	Sim	0	GE>0	SEG	3.9556877503135057
Gorasp2	2	70661576	70712636	6.7460966000000004	7.13841	7.15525	108504	51060	2.5	45.5	16	6	Sim	0	GE>0	SEG	5.035449751294015
Slc25a12	2	71271063	71367749	3.2302744	2.5830667	3.2483056	21209	96686	2.4	43.2	16	5	Sim	0	GE>0	SEG	4.326540668516562
Zc3h15	2	83644435	83664622	7.5199504	7.1884956	7.5306835	79962	20187	2.4	39.2	14	5	Sim	0	GE>0	SEG	4.902889079330585
Fam171b	2	83812636	83883486	4.448865	4.2913685	3.2308524	88239	70850	2	41.1	16	5	Sim	0	GE>0	SEG	4.945665499432134
Mtch2	2	90847155	90866810	8.806573	8.5941105	8.640345	57672	19655	2.1	41.5	15	5	Sim	0	GE>0	SEG	4.760972542871948
